Municipio,Contagem,Latitude,Longitude,Municipio_Freq
ABADIA DE GOIÁS,556,-16.78893560640398,-49.43279950787229,0.0004105363110506
ABADIÂNIA,2883,-16.19915712906121,-48.70814271576387,0.0021287341452501
ACREÚNA,6833,-17.48826970830257,-50.32369400069289,0.0050453140528942
ADELÂNDIA,242,-16.353762350998142,-50.17813605937417,0.0001786866677594
ALEXÂNIA,1611,-16.07491682926853,-48.49287370127031,0.0011895215775226
ALOÂNDIA,85,-17.68815894117647,-49.45926305882353,6.276184611386032e-05
ALTO HORIZONTE,1234,-14.162393972965113,-49.45279801107309,0.0009111543306412
ALTO PARAÍSO DE GOIÁS,18425,-14.194794675020932,-47.58800995260268,0.0136045531135044
ALVORADA DO NORTE,9360,-14.578913930149612,-46.62741788371978,0.0069111868191262
AMARALINA,4772,-13.848529827205882,-49.56903226128027,0.0035235238782981
AMERICANO DO BRASIL,386,-16.26768690474456,-50.03356390050078,0.0002850126188229
AMORINÓPOLIS,640,-16.66506804069733,-51.10984947764403,0.0004725597825043
ANHANGUERA,110,-18.298455841186364,-48.23644304764,8.122121261793689e-05
ANICUNS,3886,-16.386618352812665,-49.96569453715062,0.0028693239293936
ANÁPOLIS,3476,-16.327248789404404,-48.95399874795129,0.0025665903187268
APARECIDA DE GOIÂNIA,1809,-16.80602601231046,-49.24588428522596,0.0013357197602349
APARECIDA DO RIO DOCE,1302,-18.2275046528764,-51.298408339959074,0.0009613638075323
APORÉ,3153,-18.7073526543005,-52.08304620766298,0.0023280953034941
ARAGARÇAS,2195,-15.9954744133776,-52.195114826594455,0.0016207323790579
ARAGOIÂNIA,450,-16.91901903566752,-49.41650422930775,0.0003322685970733
ARAGUAPAZ,9844,-15.139882625109504,-50.2765366521584,0.0072685601546451
ARAÇU,192,-16.334093281250002,-49.70501984375,0.0001417679347513
ARENÓPOLIS,2297,-16.361902054815086,-51.55715988814804,0.0016960465943945
ARUANÃ,7461,-14.80056233565119,-50.9660645783424,0.0055090133394766
AURILÂNDIA,1104,-16.694217641941965,-50.54701395836094,0.00081516562482
AVELINÓPOLIS,538,-16.51911947366258,-49.76146747111399,0.0003972455671677
BALIZA,12803,-16.335498056525363,-52.47044379945877,0.0094534107740676
BARRO ALTO,9507,-14.9246949793272,-48.89831318663708,0.0070197278941702
BELA VISTA DE GOIÁS,2981,-16.95106540676648,-48.933601465935,0.002201094861946
BOM JARDIM DE GOIÁS,9457,-16.169600227866493,-52.08811808319062,0.006982809161162
BOM JESUS DE GOIÁS,5899,-18.192311694542585,-49.92073113922121,0.0043556721203019
BONFINÓPOLIS,565,-16.593720196431793,-49.00153550440518,0.0004171816829921
BONÓPOLIS,3689,-13.564579785655514,-49.78482140282583,0.0027238641213415
BRAZABRANTES,327,-16.38638492779754,-49.3872036236477,0.0002414485138733
BRITÂNIA,3379,-15.098256086081884,-51.20240394542521,0.0024949679766909
BURITI ALEGRE,686,-18.058745550168023,-49.05309547296925,0.0005065250168718
BURITI DE GOIÁS,604,-16.117288760460852,-50.42866144294369,0.0004459782947384
BURITINÓPOLIS,801,-14.42314966215634,-46.33303829144667,0.0005914381027906
CABECEIRAS,2866,-15.753711869204832,-46.99550025639795,0.0021161817760273
CACHOEIRA ALTA,1737,-18.461936889018936,-50.98679602687277,0.0012825567847032
CACHOEIRA DE GOIÁS,1088,-16.743051878299504,-50.687902715799886,0.0008033516302574
CACHOEIRA DOURADA,1272,-18.46651639403071,-49.55177475564167,0.0009392125677274
CAIAPÔNIA,19333,-17.02333953529842,-51.80903000805655,0.0142749973049324
CALDAS NOVAS,4463,-17.728174181219167,-48.609976896734885,0.0032953661083077
CALDAZINHA,307,-16.743499656574723,-48.98542839082745,0.00022668102067
CAMPESTRE DE GOIÁS,324,-16.796398326655236,-49.67954670252682,0.0002392333898928
CAMPINAÇU,14568,-13.868181231222769,-48.55699372818981,0.0107566420492554
CAMPINORTE,5848,-14.019192669554034,-48.931304030265736,0.0043180150126335
CAMPO ALEGRE DE GOIÁS,4838,-17.478774899824252,-47.74286914863833,0.0035722566058688
CAMPO LIMPO DE GOIÁS,361,-16.299018349281013,-49.110030575894335,0.0002665532523188
CAMPOS BELOS,7307,-12.986995843211018,-46.42094914457776,0.0053953036418114
CAMPOS VERDES,1222,-14.200869051269477,-49.67078102066461,0.0009022938347192
CARMO DO RIO VERDE,996,-15.426910428711976,-49.742093983937615,0.0007354211615224
CASTELÂNDIA,1966,-18.147960130853747,-50.30679359237395,0.0014516445818805
CATALÃO,9081,-17.859620758114687,-47.65795514226879,0.0067051802889407
CATURAÍ,563,-16.46434919145576,-49.55619428460128,0.0004157049336718
